,Neighborhood,TheoreticalUnits,Opportunity
0,Eagle Rock,55.511572175,High
1,Glassell Park,60.56833085,High
2,Hollywood,53.616659925,High
3,Rancho Park,212.385193175,High
4,Studio City,64.27600000000001,High
5,Tarzana,53.457651999999996,High
6,West Hills,85.8661008,High
7,Westwood,74.689269875,High
8,Windsor Square,75.104261,High
9,Boyle Heights,210.450796975,Low
10,Broadway-Manchester,75.7756105,Low
11,Chesterfield Square,303.695,Low
12,Downtown,1039.7793136999999,Low
13,Echo Park,66.57379075,Low
14,Exposition Park,83.495,Low
15,Florence,56.915509625000006,Low
16,Green Meadows,1550.80137,Low
17,Highland Park,484.64947485000005,Low
18,Koreatown,122.607703875,Low
19,Lincoln Heights,821.575148375,Low
20,North Hollywood,558.9751976499999,Low
21,Northridge,63.146375424999995,Low
22,Panorama City,76.330401675,Low
23,Reseda,355.16187325,Low
24,Sun Valley,271.074308,Low
25,Sylmar,172.35396165,Low
26,Van Nuys,541.61534635,Low
27,Vermont Vista,79.072500875,Low
28,Wilmington,147.94803045,Low
